weeks,days,p10_length,p90_length
24,0,28.46,35.12
24,1,28.64,35.30
24,2,28.82,35.48
24,3,29.00,35.66
24,4,29.18,35.85
24,5,29.36,36.03
24,6,29.55,36.21
25,0,29.73,36.39
25,1,29.91,36.57
25,2,30.09,36.75
25,3,30.27,36.93
25,4,30.45,37.12
25,5,30.63,37.30
25,6,30.82,37.48
26,0,31.00,37.66
26,1,31.18,37.84
26,2,31.36,38.02
26,3,31.54,38.20
26,4,31.72,38.39
26,5,31.90,38.57
26,6,32.09,38.75
27,0,32.27,38.93
27,1,32.45,39.11
27,2,32.63,39.29
27,3,32.81,39.47
27,4,32.99,39.66
27,5,33.17,39.84
27,6,33.36,40.02
28,0,33.54,40.20
28,1,33.72,40.38
28,2,33.90,40.56
28,3,34.08,40.74
28,4,34.26,40.93
28,5,34.44,41.11
28,6,34.63,41.29
29,0,34.81,41.47
29,1,34.99,41.65
29,2,35.17,41.83
29,3,35.35,42.01
29,4,35.53,42.20
29,5,35.71,42.38
29,6,35.90,42.56
30,0,36.08,42.74
30,1,36.26,42.92
30,2,36.44,43.10
30,3,36.62,43.28
30,4,36.80,43.47
30,5,36.98,43.65
30,6,37.17,43.83
31,0,37.35,44.01
31,1,37.53,44.19
31,2,37.71,44.37
31,3,37.89,44.55
31,4,38.07,44.74
31,5,38.25,44.92
31,6,38.44,45.10
32,0,38.62,45.28
32,1,38.80,45.46
32,2,38.98,45.64
32,3,39.16,45.82
32,4,39.34,46.01
32,5,39.52,46.19
32,6,39.71,46.37
33,0,41.01,45.70
33,1,41.19,45.87
33,2,41.37,46.03
33,3,41.54,46.19
33,4,41.72,46.34
33,5,41.89,46.50
33,6,42.06,46.65
34,0,42.22,46.79
34,1,42.38,46.94
34,2,42.54,47.08
34,3,42.70,47.22
34,4,42.85,47.36
34,5,43.01,47.50
34,6,43.15,47.63
35,0,43.30,47.76
35,1,43.44,47.89
35,2,43.59,48.02
35,3,43.73,48.14
35,4,43.86,48.27
35,5,44.00,48.39
35,6,44.13,48.51
36,0,44.26,48.62
36,1,44.39,48.74
36,2,44.51,48.85
36,3,44.64,48.96
36,4,44.76,49.07
36,5,44.88,49.18
36,6,45.00,49.29
37,0,45.11,49.39
37,1,45.23,49.49
37,2,45.34,49.59
37,3,45.45,49.69
37,4,45.56,49.79
37,5,45.67,49.88
37,6,45.77,49.98
38,0,45.88,50.07
38,1,45.98,50.16
38,2,46.08,50.25
38,3,46.18,50.34
38,4,46.28,50.43
38,5,46.37,50.51
38,6,46.47,50.60
39,0,46.56,50.68
39,1,46.65,50.76
39,2,46.74,50.84
39,3,46.83,50.92
39,4,46.92,51.00
39,5,47.00,51.08
39,6,47.09,51.15
40,0,47.17,51.23
40,1,47.25,51.30
40,2,47.33,51.37
40,3,47.41,51.44
40,4,47.49,51.51
40,5,47.57,51.58
40,6,47.65,51.65
41,0,47.72,51.72
41,1,47.79,51.78
41,2,47.87,51.85
41,3,47.94,51.91
41,4,48.01,51.97
41,5,48.08,52.03
41,6,48.15,52.10
42,0,48.21,52.15
42,1,48.28,52.21
42,2,48.35,52.27
42,3,48.41,52.33
42,4,48.47,52.39
42,5,48.54,52.44
42,6,48.60,52.50
