weeks,days,p10_weight,p90_weight
24,0,0.47,0.77
24,1,0.48,0.79
24,2,0.49,0.80
24,3,0.50,0.82
24,4,0.51,0.83
24,5,0.52,0.85
24,6,0.53,0.87
25,0,0.54,0.88
25,1,0.55,0.90
25,2,0.56,0.92
25,3,0.57,0.93
25,4,0.58,0.95
25,5,0.59,0.97
25,6,0.60,0.99
26,0,0.61,1.01
26,1,0.62,1.02
26,2,0.64,1.04
26,3,0.65,1.06
26,4,0.66,1.08
26,5,0.67,1.10
26,6,0.68,1.12
27,0,0.70,1.14
27,1,0.71,1.16
27,2,0.72,1.19
27,3,0.74,1.21
27,4,0.75,1.23
27,5,0.76,1.25
27,6,0.78,1.27
28,0,0.79,1.30
28,1,0.81,1.32
28,2,0.82,1.34
28,3,0.83,1.37
28,4,0.85,1.39
28,5,0.86,1.42
28,6,0.88,1.44
29,0,0.90,1.47
29,1,0.91,1.50
29,2,0.93,1.52
29,3,0.94,1.55
29,4,0.96,1.58
29,5,0.98,1.60
29,6,0.99,1.63
30,0,1.01,1.66
30,1,1.03,1.69
30,2,1.05,1.72
30,3,1.07,1.75
30,4,1.08,1.78
30,5,1.10,1.81
30,6,1.12,1.84
31,0,1.14,1.87
31,1,1.16,1.90
31,2,1.18,1.94
31,3,1.20,1.97
31,4,1.22,2.00
31,5,1.24,2.04
31,6,1.26,2.07
32,0,1.28,2.11
32,1,1.31,2.14
32,2,1.33,2.18
32,3,1.35,2.21
32,4,1.37,2.25
32,5,1.40,2.29
32,6,1.42,2.33
33,0,1.41,2.35
33,1,1.45,2.40
33,2,1.49,2.44
33,3,1.53,2.48
33,4,1.57,2.52
33,5,1.61,2.56
33,6,1.65,2.60
34,0,1.68,2.64
34,1,1.72,2.67
34,2,1.75,2.71
34,3,1.79,2.75
34,4,1.82,2.79
34,5,1.86,2.82
34,6,1.89,2.86
35,0,1.92,2.89
35,1,1.96,2.93
35,2,1.99,2.96
35,3,2.02,2.99
35,4,2.05,3.03
35,5,2.08,3.06
35,6,2.11,3.09
36,0,2.14,3.12
36,1,2.17,3.15
36,2,2.20,3.18
36,3,2.23,3.21
36,4,2.25,3.24
36,5,2.28,3.27
36,6,2.31,3.30
37,0,2.33,3.32
37,1,2.36,3.35
37,2,2.38,3.38
37,3,2.41,3.40
37,4,2.43,3.43
37,5,2.46,3.46
37,6,2.48,3.48
38,0,2.50,3.51
38,1,2.53,3.53
38,2,2.55,3.55
38,3,2.57,3.58
38,4,2.59,3.60
38,5,2.61,3.62
38,6,2.63,3.64
39,0,2.65,3.66
39,1,2.67,3.68
39,2,2.69,3.70
39,3,2.71,3.72
39,4,2.73,3.74
39,5,2.74,3.76
39,6,2.76,3.78
40,0,2.78,3.80
40,1,2.80,3.82
40,2,2.81,3.84
40,3,2.83,3.85
40,4,2.84,3.87
40,5,2.86,3.89
40,6,2.87,3.90
41,0,2.89,3.92
41,1,2.90,3.93
41,2,2.91,3.95
41,3,2.93,3.96
41,4,2.94,3.97
41,5,2.95,3.99
41,6,2.96,4.00
42,0,2.98,4.01
42,1,2.99,4.03
42,2,3.00,4.04
42,3,3.01,4.05
42,4,3.02,4.06
42,5,3.03,4.07
42,6,3.04,4.08
