weeks,days,p10_length,p90_length
24,0,28.88,35.55
24,1,29.06,35.73
24,2,29.25,35.91
24,3,29.43,36.09
24,4,29.61,36.27
24,5,29.79,36.45
24,6,29.97,36.63
25,0,30.15,36.82
25,1,30.33,37.00
25,2,30.52,37.18
25,3,30.70,37.36
25,4,30.88,37.54
25,5,31.06,37.72
25,6,31.24,37.90
26,0,31.42,38.09
26,1,31.60,38.27
26,2,31.79,38.45
26,3,31.97,38.63
26,4,32.15,38.81
26,5,32.33,38.99
26,6,32.51,39.17
27,0,32.69,39.36
27,1,32.87,39.54
27,2,33.06,39.72
27,3,33.24,39.90
27,4,33.42,40.08
27,5,33.60,40.26
27,6,33.78,40.44
28,0,33.96,40.63
28,1,34.14,40.81
28,2,34.33,40.99
28,3,34.51,41.17
28,4,34.69,41.35
28,5,34.87,41.53
28,6,35.05,41.71
29,0,35.23,41.90
29,1,35.41,42.08
29,2,35.60,42.26
29,3,35.78,42.44
29,4,35.96,42.62
29,5,36.14,42.80
29,6,36.32,42.98
30,0,36.50,43.17
30,1,36.68,43.35
30,2,36.87,43.53
30,3,37.05,43.71
30,4,37.23,43.89
30,5,37.41,44.07
30,6,37.59,44.25
31,0,37.77,44.44
31,1,37.95,44.62
31,2,38.14,44.80
31,3,38.32,44.98
31,4,38.50,45.16
31,5,38.68,45.34
31,6,38.86,45.52
32,0,39.04,45.71
32,1,39.22,45.89
32,2,39.41,46.07
32,3,39.59,46.25
32,4,39.77,46.43
32,5,39.95,46.61
32,6,40.13,46.79
33,0,41.09,46.55
33,1,41.28,46.70
33,2,41.47,46.86
33,3,41.66,47.01
33,4,41.84,47.16
33,5,42.03,47.30
33,6,42.21,47.45
34,0,42.38,47.59
34,1,42.56,47.73
34,2,42.73,47.87
34,3,42.89,48.00
34,4,43.06,48.14
34,5,43.22,48.27
34,6,43.38,48.40
35,0,43.54,48.53
35,1,43.70,48.66
35,2,43.85,48.78
35,3,44.00,48.90
35,4,44.15,49.02
35,5,44.30,49.14
35,6,44.44,49.26
36,0,44.58,49.38
36,1,44.72,49.49
36,2,44.86,49.60
36,3,45.00,49.71
36,4,45.13,49.82
36,5,45.26,49.93
36,6,45.39,50.04
37,0,45.52,50.14
37,1,45.65,50.24
37,2,45.77,50.35
37,3,45.89,50.45
37,4,46.02,50.55
37,5,46.13,50.64
37,6,46.25,50.74
38,0,46.37,50.83
38,1,46.48,50.93
38,2,46.59,51.02
38,3,46.71,51.11
38,4,46.82,51.20
38,5,46.92,51.29
38,6,47.03,51.38
39,0,47.13,51.46
39,1,47.24,51.55
39,2,47.34,51.63
39,3,47.44,51.71
39,4,47.54,51.80
39,5,47.64,51.88
39,6,47.73,51.96
40,0,47.83,52.03
40,1,47.92,52.11
40,2,48.02,52.19
40,3,48.11,52.26
40,4,48.20,52.34
40,5,48.29,52.41
40,6,48.37,52.48
41,0,48.46,52.56
41,1,48.55,52.63
41,2,48.63,52.70
41,3,48.72,52.76
41,4,48.80,52.83
41,5,48.88,52.90
41,6,48.96,52.96
42,0,49.04,53.03
42,1,49.12,53.09
42,2,49.19,53.16
42,3,49.27,53.22
42,4,49.34,53.28
42,5,49.42,53.34
42,6,49.49,53.40
