weeks,days,p10_weight,p90_weight
24,0,0.5,0.82
24,1,0.51,0.83
24,2,0.52,0.85
24,3,0.53,0.87
24,4,0.54,0.88
24,5,0.55,0.9
24,6,0.56,0.92
25,0,0.57,0.93
25,1,0.58,0.95
25,2,0.59,0.97
25,3,0.6,0.99
25,4,0.61,1.01
25,5,0.63,1.03
25,6,0.64,1.04
26,0,0.65,1.06
26,1,0.66,1.08
26,2,0.67,1.1
26,3,0.69,1.13
26,4,0.7,1.15
26,5,0.71,1.17
26,6,0.72,1.19
27,0,0.74,1.21
27,1,0.75,1.23
27,2,0.77,1.26
27,3,0.78,1.28
27,4,0.79,1.3
27,5,0.81,1.33
27,6,0.82,1.35
28,0,0.84,1.37
28,1,0.85,1.4
28,2,0.87,1.42
28,3,0.88,1.45
28,4,0.9,1.48
28,5,0.92,1.5
28,6,0.93,1.53
29,0,0.95,1.56
29,1,0.97,1.58
29,2,0.98,1.61
29,3,1.0,1.64
29,4,1.02,1.67
29,5,1.03,1.7
29,6,1.05,1.73
30,0,1.07,1.76
30,1,1.09,1.79
30,2,1.11,1.82
30,3,1.13,1.85
30,4,1.15,1.88
30,5,1.17,1.92
30,6,1.19,1.95
31,0,1.21,1.98
31,1,1.23,2.02
31,2,1.25,2.05
31,3,1.27,2.09
31,4,1.29,2.12
31,5,1.31,2.16
31,6,1.34,2.19
32,0,1.36,2.23
32,1,1.38,2.27
32,2,1.41,2.31
32,3,1.43,2.35
32,4,1.45,2.38
32,5,1.48,2.42
32,6,1.5,2.46
33,0,1.43,2.52
33,1,1.47,2.56
33,2,1.51,2.6
33,3,1.55,2.64
33,4,1.59,2.67
33,5,1.63,2.71
33,6,1.67,2.75
34,0,1.71,2.79
34,1,1.74,2.82
34,2,1.78,2.86
34,3,1.82,2.89
34,4,1.85,2.93
34,5,1.89,2.96
34,6,1.92,3.0
35,0,1.95,3.03
35,1,1.99,3.06
35,2,2.02,3.09
35,3,2.05,3.13
35,4,2.09,3.16
35,5,2.12,3.19
35,6,2.15,3.22
36,0,2.18,3.25
36,1,2.21,3.28
36,2,2.24,3.31
36,3,2.27,3.34
36,4,2.3,3.37
36,5,2.33,3.39
36,6,2.36,3.42
37,0,2.38,3.45
37,1,2.41,3.48
37,2,2.44,3.5
37,3,2.47,3.53
37,4,2.49,3.55
37,5,2.52,3.58
37,6,2.54,3.61
38,0,2.57,3.63
38,1,2.59,3.65
38,2,2.62,3.68
38,3,2.64,3.7
38,4,2.67,3.72
38,5,2.69,3.75
38,6,2.71,3.77
39,0,2.73,3.79
39,1,2.76,3.81
39,2,2.78,3.83
39,3,2.8,3.86
39,4,2.82,3.88
39,5,2.84,3.9
39,6,2.86,3.92
40,0,2.88,3.94
40,1,2.9,3.95
40,2,2.92,3.97
40,3,2.94,3.99
40,4,2.96,4.01
40,5,2.98,4.03
40,6,2.99,4.04
41,0,3.01,4.06
41,1,3.03,4.08
41,2,3.05,4.09
41,3,3.06,4.11
41,4,3.08,4.13
41,5,3.09,4.14
41,6,3.11,4.16
42,0,3.12,4.17
42,1,3.14,4.19
42,2,3.15,4.2
42,3,3.17,4.21
42,4,3.18,4.23
42,5,3.2,4.24
42,6,3.21,4.25
